"","StudentNumber","Gender","Grade","Ethnicity","SchoolName","Lunch","Special.Education","Inf..Date","Infraction","Adminstrative.Action","COUNT"
"63","S10012","M",12,"White","Clark High School","Free Lunch","Autism Spectrum Disorder (15)","9/21/2015","Disruption-School Process","OSS-One Day Out of School Suspension",693
"64","S10022","M",12,"White","Clark High School","Free Lunch","Autism Spectrum Disorder (15)","10/12/2015","Disruption-School Process","OSS-One Day Out of School Suspension",693
"65","S10095","M",12,"White","Clark High School","Free Lunch","Autism Spectrum Disorder (15)","10/14/2015","Disruption-School Process","ISS-Half Day ICBM",270
"66","S10057","M",12,"White","Clark High School","Free Lunch","Autism Spectrum Disorder (15)","10/16/2015","Disruption-School Process","OSS-One Day Out of School Suspension",693
"67","S10058","M",12,"White","Clark High School","Free Lunch","Autism Spectrum Disorder (15)","11/17/2015","Disruption-School Process","OSS-One Day Out of School Suspension",693
"68","S10108","M",12,"White","Clark High School","Free Lunch","Autism Spectrum Disorder (15)","12/4/2015","Disruption-School Process","ISS-1 Day ICBM",1807
"69","S10121","F",12,"Hispanic","Clark High School","Free Lunch","","11/2/2015","Excessive Tardiness","Lunch Restriction",926
"70","S10004","F",12,"Hispanic","Clark High School","Free Lunch","","11/16/2015","Excessive Absences","OSS-Five Days Out of School Suspension",176
"71","S10140","M",11,"Hispanic","Clark High School","Free Lunch","","11/2/2015","Excessive Tardiness","Lunch Restriction",926
"72","S10070","M",11,"Hispanic","Clark High School","Free Lunch","","12/9/2015","Excessive Tardiness","OSS-One Day Out of School Suspension",693
"73","S10012","F",12,"Hispanic","Clark High School","Free Lunch","","11/3/2015","Excessive Tardiness","Friday School",317
"74","S10058","M",12,"Hispanic","Clark High School","Free Lunch","","10/5/2015","Other","SEI Consultation",573
"75","S10157","M",12,"Hispanic","Clark High School","Free Lunch","","10/1/2015","Excessive Tardiness","Lunch Restriction",926
"76","S10158","M",12,"White","Clark High School","Free Lunch","Specific Learning Disability (07)","9/15/2015","Excessive Tardiness","Lunch Restriction",926
"77","S10080","M",12,"White","Clark High School","Free Lunch","Specific Learning Disability (07)","9/18/2015","Rule Violation","Administrative Conference",1230
"78","S10022","M",12,"White","Clark High School","Free Lunch","Specific Learning Disability (07)","9/28/2015","Excessive Tardiness","Friday School",317
"79","S10121","M",12,"White","Clark High School","Free Lunch","Specific Learning Disability (07)","10/13/2015","Excessive Tardiness","ISS-1 Day ICBM",1807
"80","S1016","M",12,"White","Clark High School","Free Lunch","Specific Learning Disability (07)","11/9/2015","Excessive Tardiness","Lunch Restriction",926
"81","S10012","M",12,"White","Clark High School","Free Lunch","Specific Learning Disability (07)","12/4/2015","Harassment/Intimidation","OSS-Five Days Out of School Suspension",176
"82","S10085","M",12,"Hispanic","Clark High School","Reduced Lunch","","11/10/2015","Excessive Tardiness","Administrative Conference",1230
"83","S1018","M",12,"White","Clark High School","Paid","","11/17/2015","Failure Refused Detention","Lunch Restriction",926
"84","S10080","M",12,"White","Clark High School","Paid","","12/15/2015","Insubordination","OSS-One Day Out of School Suspension",693
"85","S10187","F",12,"Hispanic","Clark High School","Free Lunch","","10/1/2015","Truancy","Lunch Restriction",926
"86","S10191","F",12,"White","Clark High School","Free Lunch","","9/15/2015","Excessive Tardiness","Lunch Restriction",926
"87","S10193","F",12,"Hispanic","Clark High School","Free Lunch","Specific Learning Disability (07)","12/11/2015","Truancy","Lunch Restriction",926
"88","S10022","M",12,"Hispanic","Clark High School","Free Lunch","","11/5/2015","Leaving Without Permission","ISS-2 Day ICBM",407
"89","S10198","F",12,"Hispanic","Clark High School","Reduced Lunch","","10/15/2015","Excessive Tardiness","Lunch Restriction",926
"90","S10095","F",12,"Hispanic","Clark High School","Reduced Lunch","","12/1/2015","Other","Administrative Conference",1230
"91","S10070","F",12,"Hispanic","Clark High School","Free Lunch","","10/7/2015","Other","SEI Consultation",573
"92","S10205","M",11,"White","Clark High School","Free Lunch","","9/24/2015","Truancy","Lunch Restriction",926
"93","S10218","M",11,"White","Clark High School","Free Lunch","","10/8/2015","Truancy","Lunch Restriction",926
"94","S10140","M",11,"White","Clark High School","Free Lunch","","10/12/2015","Truancy","ISS-1 Day ICBM",1807
"95","S10004","M",11,"White","Clark High School","Free Lunch","","10/22/2015","Insubordination","OSS-Two Days Out of School Suspension",290
"96","S10057","M",11,"White","Clark High School","Free Lunch","","11/5/2015","Truancy","ISS-2 Day ICBM",407
"97","S10022","M",11,"White","Clark High School","Free Lunch","","11/24/2015","Fighting","OSS-Five Days Out of School Suspension",176
"98","S10012","M",11,"White","Clark High School","Free Lunch","","12/9/2015","Truancy","OSS-Two Days Out of School Suspension",290
"99","S10058","M",11,"White","Clark High School","Free Lunch","","12/15/2015","Truancy","OSS-Three Days Out of School Suspension",258
"100","S10233","M",10,"Hispanic","Clark High School","Free Lunch","","9/17/2015","Truancy","Lunch Restriction",926
"101","S10085","M",10,"Hispanic","Clark High School","Free Lunch","","10/1/2015","Disruption-School Process","OSS-One Day Out of School Suspension",693
"102","S10236","M",10,"Hispanic","Clark High School","Free Lunch","","10/28/2015","Truancy","Lunch Restriction",926
"103","S10057","M",10,"Hispanic","Clark High School","Free Lunch","","11/13/2015","Truancy","Friday School",317
"104","S10157","M",10,"Hispanic","Clark High School","Free Lunch","","11/23/2015","Failure Refused Detention","ISS-1 Day ICBM",1807
"105","S1024","M",10,"Hispanic","Clark High School","Free Lunch","","11/23/2015","Misbehavior","Lunch Restriction",926
"106","S10004","M",10,"Hispanic","Clark High School","Free Lunch","","12/15/2015","Classroom Disruption","Work Detail",205
"107","S10158","M",11,"Hispanic","Clark High School","Free Lunch","","8/27/2015","Leaving Without Permission","ISS-1 Day ICBM",1807
"108","S10243","M",11,"Hispanic","Clark High School","Free Lunch","","9/1/2015","Classroom Disruption","Lunch Restriction",926
"109","S1026","M",11,"Hispanic","Clark High School","Free Lunch","","10/8/2015","Failure Refused Detention","Lunch Restriction",926
"110","S10057","M",11,"Hispanic","Clark High School","Free Lunch","","10/19/2015","Inappropriate Language","OSS-Five Days Out of School Suspension",176
"111","S1016","M",11,"Hispanic","Clark High School","Free Lunch","","11/2/2015","Insubordination","ISS-1 Day ICBM",1807
"112","S1029","M",11,"Hispanic","Clark High School","Free Lunch","","11/2/2015","Truancy","Lunch Restriction",926
"113","S10012","M",11,"Hispanic","Clark High School","Free Lunch","","11/5/2015","Failure To Report","Work Detail",205
"114","S10108","M",11,"Hispanic","Clark High School","Free Lunch","","11/11/2015","Rule Violation","Administrative Conference",1230
"115","S10022","F",11,"Hispanic","Clark High School","Free Lunch","","12/11/2015","Classroom Disruption","Work Detail",205
"116","S10302","F",11,"Hispanic","Clark High School","Free Lunch","","12/11/2015","Excessive Tardiness","Lunch Restriction",926
"117","S10305","F",12,"Hispanic","Clark High School","Reduced Lunch","","9/21/2015","Excessive Tardiness","Lunch Restriction",926
"118","S10308","F",12,"Hispanic","Clark High School","Reduced Lunch","","10/15/2015","Failure Refused Detention","Lunch Restriction",926
"119","S10058","F",12,"Hispanic","Clark High School","Reduced Lunch","","10/21/2015","Uniform Violation","Friday School",317
"120","S1018","F",12,"Hispanic","Clark High School","Reduced Lunch","","11/19/2015","Uniform Violation","ISS-1 Day ICBM",1807
"121","S10344","F",12,"Hispanic","Clark High School","Reduced Lunch","","12/17/2015","Uniform Violation","Lunch Restriction",926
"122","S10352","M",11,"Hispanic","Clark High School","Free Lunch","Specific Learning Disability (07)","9/21/2015","Truancy","Lunch Restriction",926
"123","S10353","M",11,"Hispanic","Clark High School","Free Lunch","Specific Learning Disability (07)","11/19/2015","Truancy","Lunch Restriction",926
"124","S10356","M",12,"White","Clark High School","Free Lunch","","10/5/2015","Excessive Tardiness","Lunch Restriction",926
"125","S10095","M",12,"Hispanic","Clark High School","Free Lunch","","8/17/2015","Gross Insubordination","OSS-One Day Out of School Suspension",693
"126","S10080","M",12,"Hispanic","Clark High School","Free Lunch","","8/18/2015","Excessive Tardiness","SEI Consultation",573
"127","S1038","M",12,"Hispanic","Clark High School","Free Lunch","","9/15/2015","Excessive Tardiness","Lunch Restriction",926
"128","S10388","M",12,"Hispanic","Clark High School","Free Lunch","","9/17/2015","Excessive Tardiness","Lunch Restriction",926
"129","S10121","M",12,"Hispanic","Clark High School","Free Lunch","","9/22/2015","Excessive Absences","Administrative Conference",1230
"130","S10085","M",12,"Hispanic","Clark High School","Free Lunch","","10/1/2015","Excessive Tardiness","SEI Consultation",573
"131","S10399","M",12,"Hispanic","Clark High School","Free Lunch","","10/21/2015","Truancy","Lunch Restriction",926
"132","S10140","M",12,"Hispanic","Clark High School","Free Lunch","","11/10/2015","Truancy","Administrative Conference",1230
"133","S10012","M",12,"Hispanic","Clark High School","Free Lunch","","11/20/2015","Truancy","Parent Conference",97
"134","S10095","M",12,"Hispanic","Clark High School","Free Lunch","","11/23/2015","Other","SEI Consultation",573
"135","S10058","M",12,"Hispanic","Clark High School","Free Lunch","","11/24/2015","Truancy","OSS-Five Days Out of School Suspension",176
"136","S1041","M",12,"Hispanic","Clark High School","Free Lunch","","12/16/2015","Other","Lunch Restriction",926
"137","S10070","F",12,"Hispanic","Clark High School","Free Lunch","","10/5/2015","Excessive Tardiness","Friday School",317
"138","S10187","F",12,"Hispanic","Clark High School","Free Lunch","","10/13/2015","Excessive Tardiness","ISS-1 Day ICBM",1807
"139","S10058","F",12,"Hispanic","Clark High School","Free Lunch","","11/4/2015","Excessive Tardiness","ISS-2 Day ICBM",407
"140","S10411","F",12,"Hispanic","Clark High School","Free Lunch","","11/17/2015","Failure Refused Detention","Lunch Restriction",926
"141","S10004","F",11,"White","Clark High School","Paid","","11/4/2015","Uniform Violation","Verbal Reprimand",317
"142","S10057","M",11,"Hispanic","Clark High School","Free Lunch","","10/22/2015","Leaving Without Permission","Work Detail",205
"143","S10085","M",11,"Hispanic","Clark High School","Free Lunch","","10/28/2015","Insubordination","Class Suspension",1164
"144","S10191","M",11,"Hispanic","Clark High School","Free Lunch","","11/4/2015","Excessive Tardiness","ISS-1 Day ICBM",1807
"145","S10428","M",11,"Hispanic","Clark High School","Free Lunch","","11/10/2015","3 Tardies In 5 Days","Lunch Restriction",926
"146","S10430","M",11,"Hispanic","Clark High School","Free Lunch","","11/24/2015","Excessive Tardiness","Lunch Restriction",926
"147","S10058","M",11,"Hispanic","Clark High School","Free Lunch","","12/1/2015","Misbehavior","Work Detail",205
"148","S10433","M",11,"Hispanic","Clark High School","Free Lunch","","12/2/2015","Excessive Tardiness","Lunch Restriction",926
"149","S10070","M",10,"Hispanic","Clark High School","Paid","","8/28/2015","Fighting","OSS-Five Days Out of School Suspension",176
"150","S10108","M",10,"Hispanic","Clark High School","Paid","","9/23/2015","Other","SEI Consultation",573
"151","S10080","M",10,"Hispanic","Clark High School","Paid","","10/7/2015","Excessive Tardiness","Friday School",317
"152","S10108","M",10,"Hispanic","Clark High School","Paid","","11/11/2015","Insubordination","OSS-One Day Out of School Suspension",693
"153","S10193","F",12,"Hispanic","Clark High School","Free Lunch","","10/14/2015","Excessive Tardiness","ISS-1 Day ICBM",1807
"154","S10198","M",12,"Black","Clark High School","Reduced Lunch","","10/13/2015","Insubordination","ISS-1 Day ICBM",1807
"155","S10435","M",12,"Black","Clark High School","Reduced Lunch","","11/10/2015","Excessive Tardiness","Lunch Restriction",926
"156","S10004","M",10,"Hispanic","Clark High School","Free Lunch","","12/14/2015","Physical Assault/Battery-Studn","OSS-Out Of School Suspension",327
"157","S10085","F",10,"Hispanic","Clark High School","Free Lunch","","10/19/2015","Insubordination","Friday School",317
"158","S10095","F",10,"Hispanic","Clark High School","Free Lunch","","11/16/2015","Excessive Tardiness","Friday School",317
"159","S10449","F",10,"Hispanic","Clark High School","Free Lunch","","12/7/2015","Excessive Tardiness","Lunch Restriction",926
"160","S10450","M",11,"Hispanic","Clark High School","Free Lunch","","12/9/2015","Excessive Tardiness","Lunch Restriction",926
"161","S10454","F",11,"Hispanic","Clark High School","Free Lunch","","9/17/2015","Excessive Tardiness","Lunch Restriction",926
"162","S10022","M",11,"Hispanic","Clark High School","Paid","","12/16/2015","Inappropriate Language","OSS-Two Days Out of School Suspension",290
"163","S10456","F",11,"Hispanic","Clark High School","Free Lunch","","10/15/2015","Excessive Tardiness","Lunch Restriction",926
"164","S10108","F",11,"Hispanic","Clark High School","Free Lunch","","12/17/2015","Excessive Tardiness","Friday School",317
"165","S10121","F",11,"White","Clark High School","Free Lunch","","9/11/2015","Classroom Disruption","SEI Consultation",573
"166","S10140","M",10,"Hispanic","Clark High School","Free Lunch","","10/6/2015","Rule Violation","SEI Consultation",573
"167","S10459","M",10,"Hispanic","Clark High School","Free Lunch","","10/13/2015","Excessive Tardiness","Lunch Restriction",926
"168","S10095","M",10,"Hispanic","Clark High School","Free Lunch","","10/20/2015","Classroom Disruption","Class Suspension",1164
"169","S10108","M",10,"Hispanic","Clark High School","Free Lunch","","11/5/2015","Classroom Disruption","Class Suspension",1164
"170","S10157","M",10,"Hispanic","Clark High School","Free Lunch","","11/11/2015","Rule Violation","Administrative Conference",1230
"171","S10121","M",10,"Hispanic","Clark High School","Free Lunch","","11/12/2015","Classroom Disruption","Class Suspension",1164
"172","S10461","M",10,"Hispanic","Clark High School","Free Lunch","","11/12/2015","Failure Refused Detention","Lunch Restriction",926
"173","S10121","M",10,"Hispanic","Clark High School","Free Lunch","","11/17/2015","Insubordination","OSS-One Day Out of School Suspension",693
"174","S10476","M",10,"Hispanic","Clark High School","Free Lunch","","12/8/2015","Excessive Tardiness","Lunch Restriction",926
"175","S10482","M",10,"Hispanic","Clark High School","Free Lunch","","12/15/2015","Failure To Report","Lunch Restriction",926
"176","S10070","M",10,"Hispanic","Clark High School","Free Lunch","","12/16/2015","Classroom Disruption","Work Detail",205
"177","S10140","M",10,"Hispanic","Clark High School","Free Lunch","","10/1/2015","Disruption-School Process","OSS-One Day Out of School Suspension",693
"178","S10140","M",10,"Hispanic","Clark High School","Free Lunch","","10/26/2015","Classroom Disruption","Class Suspension",1164
"179","S10157","M",10,"Hispanic","Clark High School","Free Lunch","","11/11/2015","Insubordination","OSS-One Day Out of School Suspension",693
"180","S10158","F",11,"Hispanic","Clark High School","Free Lunch","","12/18/2015","Other","Administrative Conference",1230
"181","S10486","F",11,"Hispanic","Clark High School","Reduced Lunch","","9/17/2015","Excessive Tardiness","Lunch Restriction",926
"182","S10012","M",11,"Hispanic","Clark High School","Free Lunch","","11/4/2015","Uniform Violation","Verbal Reprimand",317
"183","S10070","M",11,"Hispanic","Clark High School","Free Lunch","","11/23/2015","Truancy","OSS-Three Days Out of School Suspension",258
"184","S10497","F",11,"Hispanic","Clark High School","Free Lunch","","10/15/2015","Excessive Tardiness","Lunch Restriction",926
"185","S10157","F",11,"Hispanic","Clark High School","Free Lunch","","10/6/2015","Rule Violation","SEI Consultation",573
"186","S10205","F",11,"Hispanic","Clark High School","Free Lunch","","10/12/2015","Excessive Tardiness","ISS-1 Day ICBM",1807
"187","S10500","F",11,"Hispanic","Clark High School","Free Lunch","","11/10/2015","Excessive Tardiness","Lunch Restriction",926
"188","S10121","M",11,"Hispanic","Clark High School","Free Lunch","","9/25/2015","Excessive Tardiness","Friday School",317
"189","S10140","M",11,"Hispanic","Clark High School","Free Lunch","","10/15/2015","Excessive Tardiness","Friday School",317
"190","S10157","M",11,"Hispanic","Clark High School","Free Lunch","","10/7/2015","Excessive Tardiness","Friday School",317
"191","S10503","F",10,"Hispanic","Clark High School","Free Lunch","","9/23/2015","Excessive Tardiness","Lunch Restriction",926
"192","S10080","F",10,"Hispanic","Clark High School","Free Lunch","","11/24/2015","Classroom Disruption","Work Detail",205
"193","S10218","M",10,"Hispanic","Clark High School","Free Lunch","","11/11/2015","Disruption-School Process","ISS-1 Day ICBM",1807
"194","S10508","F",10,"Hispanic","Clark High School","Free Lunch","","10/19/2015","Failure Refused Detention","Lunch Restriction",926
"195","S10233","F",10,"Hispanic","Clark High School","Free Lunch","","10/27/2015","Excessive Tardiness","ISS-1 Day ICBM",1807
"196","S10512","M",10,"Hispanic","Clark High School","Free Lunch","","10/13/2015","Excessive Tardiness","Lunch Restriction",926
"197","S10517","M",10,"Hispanic","Clark High School","Free Lunch","","11/4/2015","Excessive Tardiness","Lunch Restriction",926
"198","S1052","M",10,"Hispanic","Clark High School","Free Lunch","","12/17/2015","Excessive Tardiness","Lunch Restriction",926
"199","S10236","M",10,"Hispanic","Clark High School","Paid","","9/14/2015","Misbehavior","ISS-1 Day ICBM",1807
"200","S10520","M",10,"Hispanic","Clark High School","Paid","","9/15/2015","Classroom Disruption","Lunch Restriction",926
"201","S10004","M",10,"Hispanic","Clark High School","Paid","","9/15/2015","Classroom Disruption","Ripple Effects Module",77
"202","S1024","M",10,"Hispanic","Clark High School","Paid","","10/2/2015","Misbehavior","ISS-1 Day ICBM",1807
"203","S10243","M",10,"Hispanic","Clark High School","Paid","","12/7/2015","Theft School/Private Property","ISS-1 Day ICBM",1807
"204","S1026","M",10,"Hispanic","Clark High School","Paid","","9/14/2015","Misbehavior","ISS-1 Day ICBM",1807
"205","S10158","M",10,"Hispanic","Clark High School","Paid","","10/8/2015","Other","SEI Consultation",573
"206","S1029","M",10,"Hispanic","Clark High School","Paid","","12/7/2015","Theft School/Private Property","ISS-1 Day ICBM",1807
"207","S10158","M",10,"Hispanic","Clark High School","Paid","","12/9/2015","Disruption-School Process","OSS-One Day Out of School Suspension",693
"208","S10012","M",10,"Hispanic","Clark High School","Paid","","12/11/2015","Safety Infraction","OSS-Out Of School Suspension",327
"209","S10070","F",12,"Hispanic","Clark High School","Free Lunch","","9/30/2015","Excessive Tardiness","ISS-2 Day ICBM",407
"210","S10158","F",12,"Hispanic","Clark High School","Free Lunch","","11/12/2015","Excessive Tardiness","Friday School",317
"211","S10157","M",11,"White","Clark High School","Free Lunch","","9/16/2015","Insubordination","Class Suspension",1164
"212","S10080","M",11,"White","Clark High School","Free Lunch","","11/30/2015","Excessive Tardiness","ISS-2 Day ICBM",407
"213","S1016","M",10,"White","Clark High School","Free Lunch","","10/27/2015","Misbehavior","OSS-One Day Out of School Suspension",693
"214","S1016","F",10,"White","Clark High School","Free Lunch","Mild Cognitive Disability (10)","10/13/2015","Other","SEI Consultation",573
"215","S1018","F",10,"White","Clark High School","Free Lunch","Mild Cognitive Disability (10)","10/15/2015","Other","SEI Consultation",573
"216","S10521","F",10,"White","Clark High School","Free Lunch","Mild Cognitive Disability (10)","10/23/2015","Inappropriate Language","Lunch Restriction",926
"217","S10523","M",10,"Black","Clark High School","Free Lunch","","9/11/2015","Classroom Disruption","Lunch Restriction",926
"218","S1053","M",10,"Black","Clark High School","Free Lunch","","9/21/2015","Truancy","Lunch Restriction",926
"219","S10530","M",10,"White","Clark High School","Free Lunch","","9/28/2015","Excessive Tardiness","Lunch Restriction",926
"220","S10085","M",10,"White","Clark High School","Free Lunch","","10/2/2015","Misbehavior","Work Detail",205
"221","S1016","M",10,"White","Clark High School","Free Lunch","","10/12/2015","Excessive Tardiness","Friday School",317
"222","S10536","M",10,"White","Clark High School","Free Lunch","","10/19/2015","Failure Refused Detention","Lunch Restriction",926
"223","S10302","M",10,"White","Clark High School","Free Lunch","","10/27/2015","Excessive Tardiness","ISS-1 Day ICBM",1807
"224","S10547","F",11,"Hispanic","Clark High School","Free Lunch","","9/25/2015","Excessive Tardiness","Lunch Restriction",926
"225","S10548","F",11,"Hispanic","Clark High School","Free Lunch","","11/12/2015","Excessive Tardiness","Lunch Restriction",926
"226","S1018","F",11,"Hispanic","Clark High School","Free Lunch","","12/17/2015","Classroom Disruption","Friday School",317
"227","S10551","M",10,"Hispanic","Clark High School","Free Lunch","Specific Learning Disability (07)","9/16/2015","Insubordination","Lunch Restriction",926
