StudentNumber,Gender,Grade,Ethnicity,SchoolName,Lunch,Special Education,Inf. Date,Infraction,Adminstrative Action
S1227822,F,11,White,Clark High School,Free Lunch,Specific Learning Disability (07),9/4/2015,Disruption-School Process,SEI Consultation
S1227822,F,11,White,Clark High School,Free Lunch,Specific Learning Disability (07),10/8/2015,Other,SEI Consultation
S1227822,F,11,White,Clark High School,Free Lunch,Specific Learning Disability (07),10/15/2015,Other,SEI Consultation
S1227822,F,11,White,Clark High School,Free Lunch,Specific Learning Disability (07),10/20/2015,Other,SEI Consultation
S1227822,F,11,White,Clark High School,Free Lunch,Specific Learning Disability (07),10/21/2015,Other,Administrative Leave
S1227832,M,12,White,Clark High School,Free Lunch,Autism Spectrum Disorder (15),8/27/2015,Classroom Disruption,Administrative Conference
S1227832,M,12,White,Clark High School,Free Lunch,Autism Spectrum Disorder (15),9/9/2015,Classroom Disruption,Administrative Conference
S1227832,M,12,White,Clark High School,Free Lunch,Autism Spectrum Disorder (15),9/11/2015,Leaving Without Permission,ISS-1 Day ICBM
S1227832,M,12,White,Clark High School,Free Lunch,Autism Spectrum Disorder (15),9/15/2015,Disruption-School Process,OSS-Three Days Out of School Suspension
S1227832,M,12,White,Clark High School,Free Lunch,Autism Spectrum Disorder (15),9/21/2015,Disruption-School Process,OSS-One Day Out of School Suspension
S1227832,M,12,White,Clark High School,Free Lunch,Autism Spectrum Disorder (15),10/12/2015,Disruption-School Process,OSS-One Day Out of School Suspension
S1227832,M,12,White,Clark High School,Free Lunch,Autism Spectrum Disorder (15),10/14/2015,Disruption-School Process,ISS-Half Day ICBM
S1227832,M,12,White,Clark High School,Free Lunch,Autism Spectrum Disorder (15),10/16/2015,Disruption-School Process,OSS-One Day Out of School Suspension
S1227832,M,12,White,Clark High School,Free Lunch,Autism Spectrum Disorder (15),11/17/2015,Disruption-School Process,OSS-One Day Out of School Suspension
S1227832,M,12,White,Clark High School,Free Lunch,Autism Spectrum Disorder (15),12/4/2015,Disruption-School Process,ISS-1 Day ICBM
S1227834,F,12,Hispanic,Clark High School,Free Lunch,,11/2/2015,Excessive Tardiness,Lunch Restriction
S1227834,F,12,Hispanic,Clark High School,Free Lunch,,11/16/2015,Excessive Absences,OSS-Five Days Out of School Suspension
S1227837,M,11,Hispanic,Clark High School,Free Lunch,,11/2/2015,Excessive Tardiness,Lunch Restriction
S1227837,M,11,Hispanic,Clark High School,Free Lunch,,12/9/2015,Excessive Tardiness,OSS-One Day Out of School Suspension
S1227838,F,12,Hispanic,Clark High School,Free Lunch,,11/3/2015,Excessive Tardiness,Friday School
S1227846,M,12,Hispanic,Clark High School,Free Lunch,,10/5/2015,Other,SEI Consultation
S1227853,M,12,Hispanic,Clark High School,Free Lunch,,10/1/2015,Excessive Tardiness,Lunch Restriction
S1227858,M,12,White,Clark High School,Free Lunch,Specific Learning Disability (07),9/15/2015,Excessive Tardiness,Lunch Restriction
S1227858,M,12,White,Clark High School,Free Lunch,Specific Learning Disability (07),9/18/2015,Rule Violation,Administrative Conference
S1227858,M,12,White,Clark High School,Free Lunch,Specific Learning Disability (07),9/28/2015,Excessive Tardiness,Friday School
S1227858,M,12,White,Clark High School,Free Lunch,Specific Learning Disability (07),10/13/2015,Excessive Tardiness,ISS-1 Day ICBM
S1227858,M,12,White,Clark High School,Free Lunch,Specific Learning Disability (07),11/9/2015,Excessive Tardiness,Lunch Restriction
S1227858,M,12,White,Clark High School,Free Lunch,Specific Learning Disability (07),12/4/2015,Harassment/Intimidation,OSS-Five Days Out of School Suspension
S1227863,M,12,Hispanic,Clark High School,Reduced Lunch,,11/10/2015,Excessive Tardiness,Administrative Conference
S1227867,M,12,White,Clark High School,Paid,,11/17/2015,Failure Refused Detention,Lunch Restriction
S1227867,M,12,White,Clark High School,Paid,,12/15/2015,Insubordination,OSS-One Day Out of School Suspension
S1227874,F,12,Hispanic,Clark High School,Free Lunch,,10/1/2015,Truancy,Lunch Restriction
S1227877,F,12,White,Clark High School,Free Lunch,,9/15/2015,Excessive Tardiness,Lunch Restriction
S1227889,F,12,Hispanic,Clark High School,Free Lunch,Specific Learning Disability (07),12/11/2015,Truancy,Lunch Restriction
S1227891,M,12,Hispanic,Clark High School,Free Lunch,,11/5/2015,Leaving Without Permission,ISS-2 Day ICBM
S1227896,F,12,Hispanic,Clark High School,Reduced Lunch,,10/15/2015,Excessive Tardiness,Lunch Restriction
S1227896,F,12,Hispanic,Clark High School,Reduced Lunch,,12/1/2015,Other,Administrative Conference
S1227899,F,12,Hispanic,Clark High School,Free Lunch,,10/7/2015,Other,SEI Consultation
S1227908,M,11,White,Clark High School,Free Lunch,,9/24/2015,Truancy,Lunch Restriction
S1227908,M,11,White,Clark High School,Free Lunch,,10/8/2015,Truancy,Lunch Restriction
S1227908,M,11,White,Clark High School,Free Lunch,,10/12/2015,Truancy,ISS-1 Day ICBM
S1227908,M,11,White,Clark High School,Free Lunch,,10/22/2015,Insubordination,OSS-Two Days Out of School Suspension
S1227908,M,11,White,Clark High School,Free Lunch,,11/5/2015,Truancy,ISS-2 Day ICBM
S1227908,M,11,White,Clark High School,Free Lunch,,11/24/2015,Fighting,OSS-Five Days Out of School Suspension
S1227908,M,11,White,Clark High School,Free Lunch,,12/9/2015,Truancy,OSS-Two Days Out of School Suspension
S1227908,M,11,White,Clark High School,Free Lunch,,12/15/2015,Truancy,OSS-Three Days Out of School Suspension
S1227911,M,10,Hispanic,Clark High School,Free Lunch,,9/17/2015,Truancy,Lunch Restriction
S1227911,M,10,Hispanic,Clark High School,Free Lunch,,10/1/2015,Disruption-School Process,OSS-One Day Out of School Suspension
S1227911,M,10,Hispanic,Clark High School,Free Lunch,,10/28/2015,Truancy,Lunch Restriction
S1227911,M,10,Hispanic,Clark High School,Free Lunch,,11/13/2015,Truancy,Friday School
S1227911,M,10,Hispanic,Clark High School,Free Lunch,,11/23/2015,Failure Refused Detention,ISS-1 Day ICBM
S1227911,M,10,Hispanic,Clark High School,Free Lunch,,11/23/2015,Misbehavior,Lunch Restriction
S1227911,M,10,Hispanic,Clark High School,Free Lunch,,12/15/2015,Classroom Disruption,Work Detail
S1227913,M,11,Hispanic,Clark High School,Free Lunch,,8/27/2015,Leaving Without Permission,ISS-1 Day ICBM
S1227913,M,11,Hispanic,Clark High School,Free Lunch,,9/1/2015,Classroom Disruption,Lunch Restriction
S1227913,M,11,Hispanic,Clark High School,Free Lunch,,10/8/2015,Failure Refused Detention,Lunch Restriction
S1227913,M,11,Hispanic,Clark High School,Free Lunch,,10/19/2015,Inappropriate Language,OSS-Five Days Out of School Suspension
S1227913,M,11,Hispanic,Clark High School,Free Lunch,,11/2/2015,Insubordination,ISS-1 Day ICBM
S1227913,M,11,Hispanic,Clark High School,Free Lunch,,11/2/2015,Truancy,Lunch Restriction
S1227913,M,11,Hispanic,Clark High School,Free Lunch,,11/5/2015,Failure To Report,Work Detail
S1227913,M,11,Hispanic,Clark High School,Free Lunch,,11/11/2015,Rule Violation,Administrative Conference
S1227919,F,11,Hispanic,Clark High School,Free Lunch,,12/11/2015,Classroom Disruption,Work Detail
S1227919,F,11,Hispanic,Clark High School,Free Lunch,,12/11/2015,Excessive Tardiness,Lunch Restriction
S1227928,F,12,Hispanic,Clark High School,Reduced Lunch,,9/21/2015,Excessive Tardiness,Lunch Restriction
S1227928,F,12,Hispanic,Clark High School,Reduced Lunch,,10/15/2015,Failure Refused Detention,Lunch Restriction
S1227928,F,12,Hispanic,Clark High School,Reduced Lunch,,10/21/2015,Uniform Violation,Friday School
S1227928,F,12,Hispanic,Clark High School,Reduced Lunch,,11/19/2015,Uniform Violation,ISS-1 Day ICBM
S1227928,F,12,Hispanic,Clark High School,Reduced Lunch,,12/17/2015,Uniform Violation,Lunch Restriction
S1227930,M,11,Hispanic,Clark High School,Free Lunch,Specific Learning Disability (07),9/21/2015,Truancy,Lunch Restriction
S1227930,M,11,Hispanic,Clark High School,Free Lunch,Specific Learning Disability (07),11/19/2015,Truancy,Lunch Restriction
S1227931,M,12,White,Clark High School,Free Lunch,,10/5/2015,Excessive Tardiness,Lunch Restriction
S1227935,M,12,Hispanic,Clark High School,Free Lunch,,8/17/2015,Gross Insubordination,OSS-One Day Out of School Suspension
S1227937,M,12,Hispanic,Clark High School,Free Lunch,,8/18/2015,Excessive Tardiness,SEI Consultation
S1227937,M,12,Hispanic,Clark High School,Free Lunch,,9/15/2015,Excessive Tardiness,Lunch Restriction
S1227937,M,12,Hispanic,Clark High School,Free Lunch,,9/17/2015,Excessive Tardiness,Lunch Restriction
S1227937,M,12,Hispanic,Clark High School,Free Lunch,,9/22/2015,Excessive Absences,Administrative Conference
S1227937,M,12,Hispanic,Clark High School,Free Lunch,,10/1/2015,Excessive Tardiness,SEI Consultation
S1227937,M,12,Hispanic,Clark High School,Free Lunch,,10/21/2015,Truancy,Lunch Restriction
S1227937,M,12,Hispanic,Clark High School,Free Lunch,,11/10/2015,Truancy,Administrative Conference
S1227937,M,12,Hispanic,Clark High School,Free Lunch,,11/20/2015,Truancy,Parent Conference
S1227937,M,12,Hispanic,Clark High School,Free Lunch,,11/23/2015,Other,SEI Consultation
S1227937,M,12,Hispanic,Clark High School,Free Lunch,,11/24/2015,Truancy,OSS-Five Days Out of School Suspension
S1227937,M,12,Hispanic,Clark High School,Free Lunch,,12/16/2015,Other,Lunch Restriction
S1227938,F,12,Hispanic,Clark High School,Free Lunch,,10/5/2015,Excessive Tardiness,Friday School
S1227938,F,12,Hispanic,Clark High School,Free Lunch,,10/13/2015,Excessive Tardiness,ISS-1 Day ICBM
S1227938,F,12,Hispanic,Clark High School,Free Lunch,,11/4/2015,Excessive Tardiness,ISS-2 Day ICBM
S1227938,F,12,Hispanic,Clark High School,Free Lunch,,11/17/2015,Failure Refused Detention,Lunch Restriction
S1227942,F,11,White,Clark High School,Paid,,11/4/2015,Uniform Violation,Verbal Reprimand
S1227943,M,11,Hispanic,Clark High School,Free Lunch,,10/22/2015,Leaving Without Permission,Work Detail
S1227943,M,11,Hispanic,Clark High School,Free Lunch,,10/28/2015,Insubordination,Class Suspension
S1227943,M,11,Hispanic,Clark High School,Free Lunch,,11/4/2015,Excessive Tardiness,ISS-1 Day ICBM
S1227943,M,11,Hispanic,Clark High School,Free Lunch,,11/10/2015,3 Tardies In 5 Days,Lunch Restriction
S1227943,M,11,Hispanic,Clark High School,Free Lunch,,11/24/2015,Excessive Tardiness,Lunch Restriction
S1227943,M,11,Hispanic,Clark High School,Free Lunch,,12/1/2015,Misbehavior,Work Detail
S1227943,M,11,Hispanic,Clark High School,Free Lunch,,12/2/2015,Excessive Tardiness,Lunch Restriction
S1227944,M,10,Hispanic,Clark High School,Paid,,8/28/2015,Fighting,OSS-Five Days Out of School Suspension
S1227944,M,10,Hispanic,Clark High School,Paid,,9/23/2015,Other,SEI Consultation
S1227944,M,10,Hispanic,Clark High School,Paid,,10/7/2015,Excessive Tardiness,Friday School
S1227944,M,10,Hispanic,Clark High School,Paid,,11/11/2015,Insubordination,OSS-One Day Out of School Suspension
S1227961,F,12,Hispanic,Clark High School,Free Lunch,,10/14/2015,Excessive Tardiness,ISS-1 Day ICBM
S1227962,M,12,Black,Clark High School,Reduced Lunch,,10/13/2015,Insubordination,ISS-1 Day ICBM
S1227962,M,12,Black,Clark High School,Reduced Lunch,,11/10/2015,Excessive Tardiness,Lunch Restriction
S1227965,M,10,Hispanic,Clark High School,Free Lunch,,12/14/2015,Physical Assault/Battery-Studn,OSS-Out Of School Suspension
S1227966,F,10,Hispanic,Clark High School,Free Lunch,,10/19/2015,Insubordination,Friday School
S1227966,F,10,Hispanic,Clark High School,Free Lunch,,11/16/2015,Excessive Tardiness,Friday School
S1227966,F,10,Hispanic,Clark High School,Free Lunch,,12/7/2015,Excessive Tardiness,Lunch Restriction
S1227973,M,11,Hispanic,Clark High School,Free Lunch,,12/9/2015,Excessive Tardiness,Lunch Restriction
S1227986,F,11,Hispanic,Clark High School,Free Lunch,,9/17/2015,Excessive Tardiness,Lunch Restriction
S1227990,M,11,Hispanic,Clark High School,Paid,,12/16/2015,Inappropriate Language,OSS-Two Days Out of School Suspension
S1227992,F,11,Hispanic,Clark High School,Free Lunch,,10/15/2015,Excessive Tardiness,Lunch Restriction
S1227992,F,11,Hispanic,Clark High School,Free Lunch,,12/17/2015,Excessive Tardiness,Friday School
S1227994,F,11,White,Clark High School,Free Lunch,,9/11/2015,Classroom Disruption,SEI Consultation
S1228008,M,10,Hispanic,Clark High School,Free Lunch,,10/6/2015,Rule Violation,SEI Consultation
S1228008,M,10,Hispanic,Clark High School,Free Lunch,,10/13/2015,Excessive Tardiness,Lunch Restriction
S1228008,M,10,Hispanic,Clark High School,Free Lunch,,10/20/2015,Classroom Disruption,Class Suspension
S1228008,M,10,Hispanic,Clark High School,Free Lunch,,11/5/2015,Classroom Disruption,Class Suspension
S1228008,M,10,Hispanic,Clark High School,Free Lunch,,11/11/2015,Rule Violation,Administrative Conference
S1228008,M,10,Hispanic,Clark High School,Free Lunch,,11/12/2015,Classroom Disruption,Class Suspension
S1228008,M,10,Hispanic,Clark High School,Free Lunch,,11/12/2015,Failure Refused Detention,Lunch Restriction
S1228008,M,10,Hispanic,Clark High School,Free Lunch,,11/17/2015,Insubordination,OSS-One Day Out of School Suspension
S1228008,M,10,Hispanic,Clark High School,Free Lunch,,12/8/2015,Excessive Tardiness,Lunch Restriction
S1228008,M,10,Hispanic,Clark High School,Free Lunch,,12/15/2015,Failure To Report,Lunch Restriction
S1228008,M,10,Hispanic,Clark High School,Free Lunch,,12/16/2015,Classroom Disruption,Work Detail
S1228011,M,10,Hispanic,Clark High School,Free Lunch,,10/1/2015,Disruption-School Process,OSS-One Day Out of School Suspension
S1228011,M,10,Hispanic,Clark High School,Free Lunch,,10/26/2015,Classroom Disruption,Class Suspension
S1228011,M,10,Hispanic,Clark High School,Free Lunch,,11/11/2015,Insubordination,OSS-One Day Out of School Suspension
S1228013,F,11,Hispanic,Clark High School,Free Lunch,,12/18/2015,Other,Administrative Conference
S1228032,F,11,Hispanic,Clark High School,Reduced Lunch,,9/17/2015,Excessive Tardiness,Lunch Restriction
S1228036,M,11,Hispanic,Clark High School,Free Lunch,,11/4/2015,Uniform Violation,Verbal Reprimand
S1228036,M,11,Hispanic,Clark High School,Free Lunch,,11/23/2015,Truancy,OSS-Three Days Out of School Suspension
S1228037,F,11,Hispanic,Clark High School,Free Lunch,,10/15/2015,Excessive Tardiness,Lunch Restriction
S1228039,F,11,Hispanic,Clark High School,Free Lunch,,10/6/2015,Rule Violation,SEI Consultation
S1228039,F,11,Hispanic,Clark High School,Free Lunch,,10/12/2015,Excessive Tardiness,ISS-1 Day ICBM
S1228039,F,11,Hispanic,Clark High School,Free Lunch,,11/10/2015,Excessive Tardiness,Lunch Restriction
S1228050,M,11,Hispanic,Clark High School,Free Lunch,,9/25/2015,Excessive Tardiness,Friday School
S1228058,M,11,Hispanic,Clark High School,Free Lunch,,10/15/2015,Excessive Tardiness,Friday School
S1228061,M,11,Hispanic,Clark High School,Free Lunch,,10/7/2015,Excessive Tardiness,Friday School
S1228064,F,10,Hispanic,Clark High School,Free Lunch,,9/23/2015,Excessive Tardiness,Lunch Restriction
S1228064,F,10,Hispanic,Clark High School,Free Lunch,,11/24/2015,Classroom Disruption,Work Detail
S1228065,M,10,Hispanic,Clark High School,Free Lunch,,11/11/2015,Disruption-School Process,ISS-1 Day ICBM
S1228075,F,10,Hispanic,Clark High School,Free Lunch,,10/19/2015,Failure Refused Detention,Lunch Restriction
S1228075,F,10,Hispanic,Clark High School,Free Lunch,,10/27/2015,Excessive Tardiness,ISS-1 Day ICBM
S1228078,M,10,Hispanic,Clark High School,Free Lunch,,10/13/2015,Excessive Tardiness,Lunch Restriction
S1228078,M,10,Hispanic,Clark High School,Free Lunch,,11/4/2015,Excessive Tardiness,Lunch Restriction
S1228078,M,10,Hispanic,Clark High School,Free Lunch,,12/17/2015,Excessive Tardiness,Lunch Restriction
S1228081,M,10,Hispanic,Clark High School,Paid,,9/14/2015,Misbehavior,ISS-1 Day ICBM
S1228081,M,10,Hispanic,Clark High School,Paid,,9/15/2015,Classroom Disruption,Lunch Restriction
S1228081,M,10,Hispanic,Clark High School,Paid,,9/15/2015,Classroom Disruption,Ripple Effects Module
S1228081,M,10,Hispanic,Clark High School,Paid,,10/2/2015,Misbehavior,ISS-1 Day ICBM
S1228081,M,10,Hispanic,Clark High School,Paid,,12/7/2015,Theft School/Private Property,ISS-1 Day ICBM
S1228082,M,10,Hispanic,Clark High School,Paid,,9/14/2015,Misbehavior,ISS-1 Day ICBM
S1228082,M,10,Hispanic,Clark High School,Paid,,10/8/2015,Other,SEI Consultation
S1228082,M,10,Hispanic,Clark High School,Paid,,12/7/2015,Theft School/Private Property,ISS-1 Day ICBM
S1228082,M,10,Hispanic,Clark High School,Paid,,12/9/2015,Disruption-School Process,OSS-One Day Out of School Suspension
S1228082,M,10,Hispanic,Clark High School,Paid,,12/11/2015,Safety Infraction,OSS-Out Of School Suspension
S1228085,F,12,Hispanic,Clark High School,Free Lunch,,9/30/2015,Excessive Tardiness,ISS-2 Day ICBM
S1228085,F,12,Hispanic,Clark High School,Free Lunch,,11/12/2015,Excessive Tardiness,Friday School
S1228088,M,11,White,Clark High School,Free Lunch,,9/16/2015,Insubordination,Class Suspension
S1228088,M,11,White,Clark High School,Free Lunch,,11/30/2015,Excessive Tardiness,ISS-2 Day ICBM
S1228095,M,10,White,Clark High School,Free Lunch,,10/27/2015,Misbehavior,OSS-One Day Out of School Suspension
S1228096,F,10,White,Clark High School,Free Lunch,Mild Cognitive Disability (10),10/13/2015,Other,SEI Consultation
S1228096,F,10,White,Clark High School,Free Lunch,Mild Cognitive Disability (10),10/15/2015,Other,SEI Consultation
S1228096,F,10,White,Clark High School,Free Lunch,Mild Cognitive Disability (10),10/23/2015,Inappropriate Language,Lunch Restriction
S1228104,M,10,Black,Clark High School,Free Lunch,,9/11/2015,Classroom Disruption,Lunch Restriction
S1228104,M,10,Black,Clark High School,Free Lunch,,9/21/2015,Truancy,Lunch Restriction
S1228106,M,10,White,Clark High School,Free Lunch,,9/28/2015,Excessive Tardiness,Lunch Restriction
S1228106,M,10,White,Clark High School,Free Lunch,,10/2/2015,Misbehavior,Work Detail
S1228106,M,10,White,Clark High School,Free Lunch,,10/12/2015,Excessive Tardiness,Friday School
S1228106,M,10,White,Clark High School,Free Lunch,,10/19/2015,Failure Refused Detention,Lunch Restriction
S1228106,M,10,White,Clark High School,Free Lunch,,10/27/2015,Excessive Tardiness,ISS-1 Day ICBM
S1228109,F,11,Hispanic,Clark High School,Free Lunch,,9/25/2015,Excessive Tardiness,Lunch Restriction
S1228109,F,11,Hispanic,Clark High School,Free Lunch,,11/12/2015,Excessive Tardiness,Lunch Restriction
S1228109,F,11,Hispanic,Clark High School,Free Lunch,,12/17/2015,Classroom Disruption,Friday School
S1228112,M,10,Hispanic,Clark High School,Free Lunch,Specific Learning Disability (07),9/16/2015,Insubordination,Lunch Restriction
S1228112,M,10,Hispanic,Clark High School,Free Lunch,Specific Learning Disability (07),10/1/2015,Insubordination,OSS-One Day Out of School Suspension
S1228112,M,10,Hispanic,Clark High School,Free Lunch,Specific Learning Disability (07),10/21/2015,Safety Infraction,Bus Suspension
S1228112,M,10,Hispanic,Clark High School,Free Lunch,Specific Learning Disability (07),11/11/2015,Classroom Disruption,ISS-1 Day ICBM
S1228113,M,11,Hispanic,Clark High School,Free Lunch,,11/4/2015,Uniform Violation,Verbal Reprimand
S1228125,F,10,Hispanic,Clark High School,Free Lunch,Specific Learning Disability (07),9/9/2015,Failure Refused Detention,Lunch Restriction
S1228125,F,10,Hispanic,Clark High School,Free Lunch,Specific Learning Disability (07),11/4/2015,Excessive Tardiness,ISS-1 Day ICBM
S1228127,M,9,White,Clark High School,Free Lunch,,9/30/2015,Truancy,OSS-One Day Out of School Suspension
S1228127,M,9,White,Clark High School,Free Lunch,,12/7/2015,Other,Administrative Conference
S1228133,M,10,Hispanic,Clark High School,Free Lunch,,9/28/2015,Excessive Tardiness,Lunch Restriction
S1228133,M,10,Hispanic,Clark High School,Free Lunch,,9/30/2015,Excessive Tardiness,Friday School
S1228133,M,10,Hispanic,Clark High School,Free Lunch,,10/15/2015,Failure Refused Detention,ISS-1 Day ICBM
S1228137,F,10,White,Clark High School,Free Lunch,,10/7/2015,Other,SEI Consultation
S1228138,F,10,Hispanic,Clark High School,Free Lunch,,11/12/2015,Excessive Tardiness,Lunch Restriction
S1228139,M,10,Hispanic,Clark High School,Free Lunch,,9/30/2015,Excessive Tardiness,Lunch Restriction
S1228139,M,10,Hispanic,Clark High School,Free Lunch,,10/28/2015,Uniform Violation,Administrative Conference
S1228144,M,10,White,Clark High School,Free Lunch,,11/10/2015,Excessive Tardiness,Lunch Restriction
S1228145,M,10,Hispanic,Clark High School,Free Lunch,,9/18/2015,Excessive Tardiness,ISS-2 Day ICBM
S1228146,M,12,Hispanic,Clark High School,Free Lunch,,10/5/2015,Excessive Tardiness,Friday School
S1228146,M,12,Hispanic,Clark High School,Free Lunch,,10/19/2015,Excessive Tardiness,ISS-1 Day ICBM
S1228156,M,12,Hispanic,Clark High School,Free Lunch,,10/1/2015,Excessive Tardiness,Friday School
S1228156,M,12,Hispanic,Clark High School,Free Lunch,,11/5/2015,Leaving Without Permission,OSS-Two Days Out of School Suspension
S1228156,M,12,Hispanic,Clark High School,Free Lunch,,11/16/2015,Failure Refused Detention,Lunch Restriction
S1228156,M,12,Hispanic,Clark High School,Free Lunch,,12/14/2015,Leaving Without Permission,OSS-Three Days Out of School Suspension
